date_key,full_date,day,day_of_week,day_name,week_of_year,month,month_name,quarter,year,is_weekend,is_month_start,is_month_end,is_quarter_start,is_quarter_end,is_year_start,is_year_end,fiscal_year,fiscal_quarter
1,2011-01-01,1,5,Saturday,52,1,January,1,2011,1,1,0,1,0,1,0,2011,4
2,2011-01-02,2,6,Sunday,52,1,January,1,2011,1,0,0,0,0,0,0,2011,4
3,2011-01-03,3,0,Monday,1,1,January,1,2011,0,0,0,0,0,0,0,2011,4
4,2011-01-04,4,1,Tuesday,1,1,January,1,2011,0,0,0,0,0,0,0,2011,4
5,2011-01-05,5,2,Wednesday,1,1,January,1,2011,0,0,0,0,0,0,0,2011,4
6,2011-01-06,6,3,Thursday,1,1,January,1,2011,0,0,0,0,0,0,0,2011,4
7,2011-01-07,7,4,Friday,1,1,January,1,2011,0,0,0,0,0,0,0,2011,4
8,2011-01-08,8,5,Saturday,1,1,January,1,2011,1,0,0,0,0,0,0,2011,4
9,2011-01-09,9,6,Sunday,1,1,January,1,2011,1,0,0,0,0,0,0,2011,4
10,2011-01-10,10,0,Monday,2,1,January,1,2011,0,0,0,0,0,0,0,2011,4
11,2011-01-11,11,1,Tuesday,2,1,January,1,2011,0,0,0,0,0,0,0,2011,4
12,2011-01-12,12,2,Wednesday,2,1,January,1,2011,0,0,0,0,0,0,0,2011,4
13,2011-01-13,13,3,Thursday,2,1,January,1,2011,0,0,0,0,0,0,0,2011,4
14,2011-01-14,14,4,Friday,2,1,January,1,2011,0,0,0,0,0,0,0,2011,4
15,2011-01-15,15,5,Saturday,2,1,January,1,2011,1,0,0,0,0,0,0,2011,4
16,2011-01-16,16,6,Sunday,2,1,January,1,2011,1,0,0,0,0,0,0,2011,4
17,2011-01-17,17,0,Monday,3,1,January,1,2011,0,0,0,0,0,0,0,2011,4
18,2011-01-18,18,1,Tuesday,3,1,January,1,2011,0,0,0,0,0,0,0,2011,4
19,2011-01-19,19,2,Wednesday,3,1,January,1,2011,0,0,0,0,0,0,0,2011,4
20,2011-01-20,20,3,Thursday,3,1,January,1,2011,0,0,0,0,0,0,0,2011,4
21,2011-01-21,21,4,Friday,3,1,January,1,2011,0,0,0,0,0,0,0,2011,4
22,2011-01-22,22,5,Saturday,3,1,January,1,2011,1,0,0,0,0,0,0,2011,4
23,2011-01-23,23,6,Sunday,3,1,January,1,2011,1,0,0,0,0,0,0,2011,4
24,2011-01-24,24,0,Monday,4,1,January,1,2011,0,0,0,0,0,0,0,2011,4
25,2011-01-25,25,1,Tuesday,4,1,January,1,2011,0,0,0,0,0,0,0,2011,4
