product_key,product_id,product_name,category,sub_category
1,TEC-AC-10003033,Plantronics CS510 - Over-the-Head monaural Wireless Headset System,Technology,Accessories
2,FUR-CH-10003950,"Novimex Executive Leather Armchair, Black",Furniture,Chairs
3,TEC-PH-10004664,"Nokia Smart Phone, with Caller ID",Technology,Phones
4,TEC-PH-10004583,"Motorola Smart Phone, Cordless",Technology,Phones
5,TEC-SHA-10000501,"Sharp Wireless Fax, High-Speed",Technology,Copiers
6,TEC-PH-10000030,"Samsung Smart Phone, with Caller ID",Technology,Phones
7,FUR-CH-10004050,"Novimex Executive Leather Armchair, Adjustable",Furniture,Chairs
8,FUR-TA-10002958,"Chromcraft Conference Table, Fully Assembled",Furniture,Tables
9,OFF-BI-10003527,Fellowes PB500 Electric Punch Plastic Comb Binding Machine with Manual Bind,Office Supplies,Binders
10,FUR-TA-10000198,Chromcraft Bull-Nose Wood Oval Conference Tables & Bases,Furniture,Tables
11,OFF-SU-10002881,Martin Yale Chadless Opener Electric Letter Opener,Office Supplies,Supplies
12,FUR-TA-10001889,"Bevis Conference Table, Fully Assembled",Furniture,Tables
13,TEC-CIS-10001717,"Cisco Smart Phone, with Caller ID",Technology,Phones
14,FUR-CH-10002033,"Harbour Creations Executive Leather Armchair, Adjustable",Furniture,Chairs
15,OFF-AP-10003500,"KitchenAid Microwave, White",Office Supplies,Appliances
16,OFF-AP-10000423,"Breville Refrigerator, Red",Office Supplies,Appliances
17,TEC-AC-10004145,Logitech diNovo Edge Keyboard,Technology,Accessories
18,OFF-AP-10004512,"Hoover Stove, Red",Office Supplies,Appliances
19,TEC-CO-10000865,"Brother Fax Machine, High-Speed",Technology,Copiers
20,OFF-KIT-10004058,"KitchenAid Stove, White",Office Supplies,Appliances
21,FUR-HON-10000224,"Hon Computer Table, with Bottom Storage",Furniture,Tables
22,TEC-PH-10001363,Apple iPhone 5S,Technology,Phones
23,FUR-CH-10000027,"SAFCO Executive Leather Armchair, Black",Furniture,Chairs
24,OFF-AP-10003590,"KitchenAid Refrigerator, Black",Office Supplies,Appliances
25,TEC-PH-10004182,"Motorola Smart Phone, Full Size",Technology,Phones
26,FUR-TA-10002827,"Hon Computer Table, Fully Assembled",Furniture,Tables
27,FUR-TA-10004744,"Lesro Conference Table, with Bottom Storage",Furniture,Tables
28,TEC-PH-10002885,Apple iPhone 5,Technology,Phones
29,FUR-CH-10001415,"Office Star Executive Leather Armchair, Red",Furniture,Chairs
30,TEC-PH-10002815,"Samsung Smart Phone, VoIP",Technology,Phones
31,TEC-MA-10000161,"Okidata Inkjet, Wireless",Technology,Machines
32,FUR-CH-10002024,HON 5400 Series Task Chairs for Big and Tall,Furniture,Chairs
33,OFF-AP-10004246,"Breville Stove, Red",Office Supplies,Appliances
34,FUR-TA-10003473,Bretford Rectangular Conference Table Tops,Furniture,Tables
35,TEC-APP-10000308,"Apple Smart Phone, Full Size",Technology,Phones
36,TEC-MA-10003979,Ativa V4110MDD Micro-Cut Shredder,Technology,Machines
37,TEC-MA-10004125,Cubify CubeX 3D Printer Triple Head Print,Technology,Machines
38,TEC-CO-10000013,"Brother Fax Machine, Laser",Technology,Copiers
39,TEC-PH-10000499,"Motorola Smart Phone, Full Size",Technology,Phones
40,TEC-PH-10003856,"Motorola Smart Phone, with Caller ID",Technology,Phones
41,FUR-BO-10004852,"Sauder Classic Bookcase, Traditional",Furniture,Bookcases
