ds,y
2011-01-01,98898.48
2011-02-01,91152.16
2011-03-01,145729.42
2011-04-01,116915.76
2011-05-01,146747.8
2011-06-01,215207.27
2011-07-01,115510.38
2011-08-01,207581.44
2011-09-01,290214.44
2011-10-01,199071.25
2011-11-01,298496.53
2011-12-01,333925.74
2012-01-01,135780.73
2012-02-01,100510.21
2012-03-01,163076.77
2012-04-01,161052.37
2012-05-01,208364.92
2012-06-01,256175.6
2012-07-01,145236.74
2012-08-01,303142.91
2012-09-01,289389.16
2012-10-01,252939.81
2012-11-01,323512.36
2012-12-01,338257.0
2013-01-01,199185.98
2013-02-01,167239.65
2013-03-01,198594.02
2013-04-01,177821.32
2013-05-01,260498.56
2013-06-01,396519.58
2013-07-01,229928.9
2013-08-01,326488.79
2013-09-01,376619.28
2013-10-01,293406.67
2013-11-01,373989.39
2013-12-01,405454.38
2014-01-01,241268.52
2014-02-01,184837.37
2014-03-01,263100.72
2014-04-01,242771.88
2014-05-01,288401.02
2014-06-01,401814.03
2014-07-01,258705.7
2014-08-01,456619.98
2014-09-01,481157.28
2014-10-01,422766.65
2014-11-01,555279.1
2014-12-01,503143.66
